Five Nights at Freddy's 2,2025,5.6/10,"One year after the supernatural nightmare at Freddy Fazbear's Pizza, Abby runs away to reconnect with her animatronic friends, uncovering dark secrets about the true origins of Freddy's and ... Read all"
Dhurandhar,2025,8.5/10,"Dhurandhar is a star-studded saga inspired by incredible true events set in the gritty criminal vein of underworld with a backdrop of Indian patriotism, featuring action sequences, Shakespea... Read all"
Bugonia,2025,7.5/10,"Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth."
Um. Natal. Surreal.,2025,5.3/10,"Claire plans a special Christmas, but is forgotten by her family. When they realize that she's missing, their holiday is at risk until she returns to give them the celebration they deserve."
Jay Kelly,2025,6.6/10,"Famous movie actor Jay Kelly embarks on a journey of self-discovery, confronting his past and present with his devoted manager Ron. Poignant and humor-filled, pitched at the intersection of ... Read all"
Zootopia 2,2025,7.7/10,"Brave rabbit cop Judy Hopps and her friend, the fox Nick Wilde, team up again to crack a new case, the most perilous and intricate of their careers."
O SEGREDO DO PAPAI NOEL,2025,5.7/10,"Taylor disguises as Santa at a resort to fund her daughter's ski lessons. Working with the charming manager Matthew, she finds holiday cheer and a chance at love amidst challenges."
Sonhos de Trem,2025,7.6/10,"Based on Denis Johnson's beloved novella, Train Dreams is the moving portrait of Robert Grainier, a logger and railroad worker who leads a life of unexpected depth and beauty in the rapidly-... Read all"
Frankenstein,2025,7.5/10,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic cr... Read all"
Uma Batalha Após a Outra,2025,7.9/10,"When their evil enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own."
Vivo ou morto: Um mistério Knives Out,2025,7.9/10,Benoit Blanc returns for his most dangerous case yet.
Missão: Impossível - O Acerto Final,2025,7.2/10,"Hunt and the IMF pursue a dangerous AI called the Entity that's infiltrated global intelligence. With governments and a figure from his past in pursuit, Hunt races to stop it from forever ch... Read all"
Predador: Terras Selvagens,2025,7.4/10,A young Predator outcast from his clan finds an unlikely ally on his journey in search of the ultimate adversary.
Hamnet - A Vida Antes de Hamlet,2025,8.1/10,"After losing their son Hamnet to plague, Agnes and William Shakespeare grapple with grief in 16th-century England. A healer, Agnes must find strength to care for her surviving children while... Read all"
Esqueceram de Mim,1990,7.7/10,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve."
Nuremberg,2025,7.6/10,"A WWII psychiatrist evaluates Nazi leaders before the Nuremberg trials, growing increasingly obsessed with understanding evil as he forms a disturbing bond with Hermann Göring."
Wicked: Parte II,2025,7.0/10,"Elphaba, the future Wicked Witch of the West and her relationship with Glinda, the Good Witch of the North. The second of a two-part feature film adaptation of the Broadway musical."
Feliz Assalto!,2025,5.7/10,"At the height of the holiday season, two strangers team up to rob one of London's most famous department stores while accidentally falling in love."
Tere Ishk Mein,2025,7.8/10,"Shankar and Mukti's intense love story unfolds against the backdrop of Benaras, exploring surrender and transformation through an all-consuming romance that heals, hurts, and changes them."
O Troll da Montanha 2,2025,5.4/10,"Nora, Andreas and Captain Kris leap back into action when a dangerous new troll awakes - and this time they'll need more help to take it down."
Five Nights at Freddy's - O Pesadelo Sem Fim,2023,5.4/10,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his five nights on the job, he realizes that something is wrong with the pizzeria and pretty soon finds the truth a... Read all"
Truque de Mestre: O 3° Ato,2025,6.2/10,"A diamond heist reunites retired Horsemen illusionists with new performers Greenblatt, Smith and Sessa as they target dangerous criminals."
Ladrões,2025,6.9/10,"Burned-out ex-baseball player Hank Thompson unexpectedly finds himself embroiled in a dangerous struggle for survival amidst the criminal underbelly of 1990s New York City, forced to navigat... Read all"
Férias Frustradas de Natal,1989,7.5/10,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.
